137742203	GYR	0.8587238	-0.68584895	0.11591168
137742211	ACC	-1.9656396	2.6862943	12.794913
137742211	MAG	12.059999	-8.46	-49.079998
137742213	GYR	1.0334313	-0.8874345	0.17821993
137742221	ACC	-0.2681506	2.767697	11.284172
137742221	MAG	11.5199995	-9.0	-49.2
137742223	GYR	1.2136365	-0.762818	0.19043724
137742231	ACC	-0.2681506	2.767697	11.284172
137742231	MAG	10.86	-9.599999	-49.739998
137742233	GYR	1.3174837	-0.5459608	0.14462234
137742241	ACC	0.46208093	2.741361	10.391134
137742241	MAG	10.139999	-9.84	-49.68
137742243	GYR	1.3168727	-0.5154176	0.060322944
137742251	ACC	0.90979666	2.7269957	9.598654
137742251	MAG	10.26	-11.219999	-49.379997
137742253	GYR	1.1751521	-0.6577492	-0.08445212
137742261	ACC	0.33997664	2.384625	10.04637
137742261	MAG	10.0199995	-11.639999	-49.559998
137742263	GYR	0.944245	-0.88193667	-0.25488353
137742271	ACC	0.23702596	2.360683	10.111013
137742271	MAG	10.139999	-12.42	-49.5
137742273	GYR	0.7005097	-1.1024591	-0.39904773
137742281	ACC	-0.33518824	1.9919758	10.4605665
137742281	MAG	10.2	-13.139999	-49.26
137742283	GYR	0.49648073	-1.1275045	-0.4558582
137742291	ACC	-0.37588966	1.4413095	10.6042185
137742291	MAG	9.599999	-13.08	-49.2
137742293	GYR	0.3370449	-0.97173387	-0.4063781
137742301	ACC	-0.44771573	2.0853498	10.716746
137742301	MAG	9.179999	-13.38	-48.66
137742303	GYR	0.19226983	-0.8501717	-0.34284812
137742311	ACC	-0.38067806	2.2457612	10.769419
137742311	MAG	9.12	-13.86	-48.78
137742313	GYR	0.08781188	-0.8165741	-0.26648995
137742321	ACC	-0.8499416	2.966416	10.812514
137742321	MAG	8.639999	-13.799999	-49.14
137742323	GYR	0.06704246	-0.9558514	-0.16081028
137742331	ACC	-1.1971009	2.896984	10.1660795
137742331	MAG	8.58	-13.92	-49.02
137742333	GYR	0.13179417	-1.1433871	-0.02031127
137742341	ACC	0.80205756	2.7269957	8.765471
137742341	MAG	8.5199995	-14.04	-49.5
137742343	GYR	0.20998493	-1.2869403	0.10797043
137742351	ACC	0.80205756	2.7269957	8.765471
137742351	MAG	7.62	-13.92	-49.2
137742353	GYR	0.2753475	-1.3632985	0.111635625
137742361	ACC	1.043872	2.8562827	8.078336
137742361	MAG	7.14	-13.74	-48.899998
137742363	GYR	0.3126103	-1.3034338	0.01572978
137742371	ACC	0.5530606	2.9735985	7.3624697
137742371	MAG	6.2999997	-13.679999	-49.379997
137742373	GYR	0.300393	-1.1104003	-0.09605856
137742381	ACC	-0.9768343	3.0214825	5.6530094
137742381	MAG	5.7599998	-13.92	-49.02
137742383	GYR	0.25335637	-0.8232936	-0.14370605
137742391	ACC	-1.0630256	3.0238767	5.540482
137742391	MAG	5.22	-13.38	-49.02
137742393	GYR	0.17455475	-0.42562035	-0.111941054
137742401	ACC	-1.5466543	3.0262709	4.920384
137742401	MAG	5.22	-13.62	-49.2
137742403	GYR	0.09208794	0.037415497	-0.044135015
137742411	ACC	-1.982399	3.098097	4.735731
137742411	MAG	4.7999997	-13.74	-49.079998
137742413	GYR	0.012675454	0.5487097	0.005955936
137742421	ACC	-3.5673606	3.5338416	6.6992755
137742421	MAG	5.16	-13.74	-49.26
137742423	GYR	-0.012980887	0.86330533	0.038331795
137742431	ACC	-3.7565024	3.58412	7.0272813
137742431	MAG	5.4	-14.28	-49.32
137742433	GYR	0.013897184	0.8578075	0.09636399
137742441	ACC	-4.5920787	3.9073372	8.150162
137742441	MAG	5.7	-13.98	-48.899998
137742443	GYR	0.0804815	0.5694791	0.22708915
137742451	ACC	-3.9624038	4.8578353	9.268254
137742451	MAG	6.12	-14.04	-48.84
137742453	GYR	0.091477074	0.1693624	0.43967026
137742461	ACC	0.19632454	3.8522706	11.308114
137742461	MAG	6.06	-14.04	-48.66
137742463	GYR	-0.0032070426	-0.2930626	0.6235407
137742471	ACC	0.5291186	3.6990416	11.329661
137742471	MAG	6.12	-13.74	-48.66
137742473	GYR	0.10247265	-0.9753991	0.7829765
137742481	ACC	2.3175871	3.406949	11.774983
137742481	MAG	5.7599998	-14.34	-49.02
137742483	GYR	0.43783766	-1.5978707	0.74021596
137742491	ACC	3.3877954	3.8522706	11.324873
